position,company,reviews,location,roles,python,r,sas,oracle,java,sql,dataviz,statistics,excel,business_intelligence,communication,machine_learning,teamwork
data analyst,operation hope,44.0,"atlanta, ga 30303 ",data_analyst,True,True,True,False,False,True,True,False,False,False,False,False,False
assistant professor -tt - signal processing & machine learning,emory university,550.0,"atlanta, ga",machine_learning_engineer,False,True,False,False,False,False,False,False,False,False,False,True,False
manager of data engineering,mckinsey & company,385.0,"atlanta, ga 30318 ",data_engineer,False,True,False,False,False,True,False,False,False,False,False,False,False
"product specialist - periscope, new ventures",mckinsey & company,385.0,"atlanta, ga 30318 ",different_field,False,True,False,False,False,False,False,False,True,True,True,False,False
"junior to mid-level engineer, geologist or environmental scientist",wood,899.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
analyst - cib credit research,suntrust,3343.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
senior associate - cognitive data scientist natural language processing,kpmg,4494.0,"atlanta, ga 30338",data_scientist,False,True,False,False,False,False,False,True,True,False,True,True,False
statistical forecast analyst,the home depot,38844.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
health scientist iii-cpts,chenega corporation,390.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
"senior associate, data scientist",kpmg,4494.0,"atlanta, ga 30338",data_scientist,False,True,False,False,False,False,True,True,True,False,False,True,False
assistant scientist (ar) som,emory university,550.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
business intelligence data science analyst - supply chain,newell brands,912.0,"atlanta, ga",data_scientist,True,True,False,False,False,True,True,True,False,True,True,False,False
data scientist,cotiviti,104.0,"atlanta, ga",data_scientist,True,True,True,False,False,True,False,True,False,False,False,True,False
senior structural engineer-transmission & distribution,burns & mcdonnell,152.0,"atlanta, ga 30309 ",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
senior mobile developer (ios/android),perficient,44.0,"atlanta, ga 30338",different_field,False,True,False,True,True,False,False,False,False,False,False,False,False
senior electrical engineer,burns & mcdonnell,152.0,"atlanta, ga 30309 ",different_field,False,True,True,False,False,False,False,False,True,False,True,False,False
"sr. manager, full stack development, kpmg tax ignition",kpmg,4494.0,"atlanta, ga 30338",different_field,True,True,True,False,False,False,False,False,True,True,True,True,False
data scientist,norfolk southern corp,722.0,"atlanta, ga 30309 ",data_scientist,True,True,False,False,False,True,False,True,True,False,True,True,False
data scientist - supply chain,the home depot,38844.0,"atlanta, ga",data_scientist,True,True,True,True,True,True,False,True,False,False,True,True,False
"data scientist, keying & linking",equifax,447.0,"atlanta, ga",data_scientist,True,True,False,False,True,True,True,True,False,False,False,True,False
data scientist - icl,georgia tech research institute,496.0,"atlanta, ga 30318 ",data_scientist,True,True,False,False,False,False,False,True,False,False,False,True,False
"data scientist, online",the home depot,38844.0,"atlanta, ga",data_scientist,False,True,False,False,False,True,False,True,True,False,True,True,False
data scientist - consultant level - orlando florida - we will help relocate,capgemini,5720.0,"atlanta, ga",data_scientist,True,True,True,False,False,True,False,True,True,False,False,True,False
senior data scientist,catalina marketing,78.0,"atlanta, ga",data_scientist,True,True,False,False,False,False,False,True,False,False,True,True,False
business intelligence data scientist - supply chain,newell brands,912.0,"atlanta, ga",data_scientist,True,True,False,False,False,True,True,True,False,True,True,False,False
entry level/junior-level scientist,"kleinfelder, inc.",92.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
scientist - data analysis,american cancer society,959.0,"atlanta, ga",data_analyst,False,True,True,False,False,False,False,False,False,False,True,False,True
data scientist,salesloft,7.0,"atlanta, ga",data_scientist,True,True,False,False,False,True,False,True,False,False,False,True,False
data scientist,mckesson,3558.0,"atlanta, ga 30329",data_scientist,False,True,False,False,False,True,False,True,True,False,True,False,False
data scientist,the intersect group,29.0,"atlanta, ga 30328",data_scientist,True,True,False,False,False,False,False,True,False,False,True,True,False
health scientist,centers for disease control and prevention,350.0,"atlanta, ga",different_field,False,True,True,False,False,False,False,False,False,False,False,False,False
data scientist - space optimization,the home depot,38844.0,"atlanta, ga",data_scientist,True,True,True,False,True,True,False,True,False,False,True,True,False
