,position,company,reviews,city,state,position_type,roles,python,r,sas,oracle,java,sql,dataviz,statistics,excel,business_intelligence,communication,machine_learning,teamwork,1yr
0,data analyst,operation hope,44.0,atlanta,ga,analyst,data_analyst,True,True,True,False,False,True,True,False,False,False,False,False,False,True
1,assistant professor -tt - signal processing & machine learning,emory university,550.0,atlanta,ga,machine_learning,machine_learning_engineer,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2,manager of data engineering,mckinsey & company,385.0,atlanta,ga,engineer,data_engineer,False,True,False,False,False,True,False,False,False,False,False,False,False,False
3,"product specialist - periscope, new ventures",mckinsey & company,385.0,atlanta,ga,other,different_field,False,True,False,False,False,False,False,False,True,True,True,False,False,False
4,"junior to mid-level engineer, geologist or environmental scientist",wood,899.0,atlanta,ga,data_scientist,different_field,False,True,False,False,False,False,False,False,True,False,True,False,False,False
5,analyst - cib credit research,suntrust,3343.0,atlanta,ga,analyst,different_field,False,True,False,False,False,False,False,False,False,False,True,False,False,True
6,senior associate - cognitive data scientist natural language processing,kpmg,4494.0,atlanta,ga,data_scientist,data_scientist,False,True,False,False,False,False,False,True,True,False,True,True,False,False
7,statistical forecast analyst,the home depot,38844.0,atlanta,ga,analyst,different_field,False,True,False,False,False,False,False,False,True,False,True,False,False,True
8,health scientist iii-cpts,chenega corporation,390.0,atlanta,ga,data_scientist,different_field,False,True,False,False,False,False,False,False,False,False,True,False,False,False
9,"senior associate, data scientist",kpmg,4494.0,atlanta,ga,data_scientist,data_scientist,False,True,False,False,False,False,True,True,True,False,False,True,False,False
10,assistant scientist (ar) som,emory university,550.0,atlanta,ga,data_scientist,different_field,False,True,False,False,False,False,False,False,False,False,True,False,False,False
11,business intelligence data science analyst - supply chain,newell brands,912.0,atlanta,ga,data_scientist,data_scientist,True,True,False,False,False,True,True,True,False,True,True,False,False,False
12,data scientist,cotiviti,104.0,atlanta,ga,data_scientist,data_scientist,True,True,True,False,False,True,False,True,False,False,False,True,False,False
13,senior structural engineer-transmission & distribution,burns & mcdonnell,152.0,atlanta,ga,engineer,different_field,False,True,False,False,False,False,False,False,True,False,True,False,False,False
14,senior mobile developer (ios/android),perficient,44.0,atlanta,ga,other,different_field,False,True,False,True,True,False,False,False,False,False,False,False,False,False
15,senior electrical engineer,burns & mcdonnell,152.0,atlanta,ga,engineer,different_field,False,True,True,False,False,False,False,False,True,False,True,False,False,False
16,"sr. manager, full stack development, kpmg tax ignition",kpmg,4494.0,atlanta,ga,other,different_field,True,True,True,False,False,False,False,False,True,True,True,True,False,False
17,data scientist,norfolk southern corp,722.0,atlanta,ga,data_scientist,data_scientist,True,True,False,False,False,True,False,True,True,False,True,True,False,True
18,data scientist - supply chain,the home depot,38844.0,atlanta,ga,data_scientist,data_scientist,True,True,True,True,True,True,False,True,False,False,True,True,False,False
19,"data scientist, keying & linking",equifax,447.0,atlanta,ga,data_scientist,data_scientist,True,True,False,False,True,True,True,True,False,False,False,True,False,False
20,data scientist - icl,georgia tech research institute,496.0,atlanta,ga,data_scientist,data_scientist,True,True,False,False,False,False,False,True,False,False,False,True,False,False
21,"data scientist, online",the home depot,38844.0,atlanta,ga,data_scientist,data_scientist,False,True,False,False,False,True,False,True,True,False,True,True,False,False
22,data scientist - consultant level - orlando florida - we will help relocate,capgemini,5720.0,atlanta,ga,data_scientist,data_scientist,True,True,True,False,False,True,False,True,True,False,False,True,False,False
23,senior data scientist,catalina marketing,78.0,atlanta,ga,data_scientist,data_scientist,True,True,False,False,False,False,False,True,False,False,True,True,False,False
24,business intelligence data scientist - supply chain,newell brands,912.0,atlanta,ga,data_scientist,data_scientist,True,True,False,False,False,True,True,True,False,True,True,False,False,False
